title,description,language,class,link
Boids Simulation,"Simulates flocking using vector math and acceleration",C++,AI,https://github.com/you/boids
Portfolio Website,"Responsive personal website with filtering system",HTML;CSS;JS,Web,https://github.com/you/portfolio
Chatbot,"Conversational agent using NLP transformers",Python,AI,https://github.com/you/chatbot
Inventory Tracker,"Full-stack MERN app for stock tracking",JavaScript;MongoDB;React,Web,https://github.com/you/inventory
Shader Renderer,"Real-time lighting with OpenGL shaders",C++;GLSL,Graphics,https://github.com/you/shader-renderer
Boids Simulation,"Simulates flocking using vector math and acceleration",C++,AI,https://github.com/you/boids
Portfolio Website,"Responsive personal website with filtering system",HTML;CSS;JS,Web,https://github.com/you/portfolio
Chatbot,"Conversational agent using NLP transformers",Python,AI,https://github.com/you/chatbot
Inventory Tracker,"Full-stack MERN app for stock tracking",JavaScript;MongoDB;React,Web,https://github.com/you/inventory
Shader Renderer,"Real-time lighting with OpenGL shaders",C++;GLSL,Graphics,https://github.com/you/shader-renderer
Boids Simulation,"Simulates flocking using vector math and acceleration",C++,AI,https://github.com/you/boids
Portfolio Website,"Responsive personal website with filtering system",HTML;CSS;JS,Web,https://github.com/you/portfolio
Chatbot,"Conversational agent using NLP transformers",Python,AI,https://github.com/you/chatbot
Inventory Tracker,"Full-stack MERN app for stock tracking",JavaScript;MongoDB;React,Web,https://github.com/you/inventory
Shader Renderer,"Real-time lighting with OpenGL shaders",C++;GLSL,Graphics,https://github.com/you/shader-renderer
Boids Simulation,"Simulates flocking using vector math and acceleration",C++,AI,https://github.com/you/boids
Portfolio Website,"Responsive personal website with filtering system",HTML;CSS;JS,Web,https://github.com/you/portfolio
Chatbot,"Conversational agent using NLP transformers",Python,AI,https://github.com/you/chatbot
Inventory Tracker,"Full-stack MERN app for stock tracking",JavaScript;MongoDB;React,Web,https://github.com/you/inventory
Shader Renderer,"Real-time lighting with OpenGL shaders",C++;GLSL,Graphics,https://github.com/you/shader-renderer
Shader Renderer,"Real-time lighting with OpenGL shaders",Pickles;GLSL,Personal Project,https://github.com/you/shader-renderer